author_name,author_id,gender,affiliation,seniority,nb_publi,pub_rate,first_author_por,avg_coauthor
Jianfeng Gao,2291,,,19,234,12.32,18,5.03
Xiaolong Li,2292,,,19,248,13.05,28,4.23
Kuansan Wang,2293,,,27,64,2.37,33,4.31
Fritz Behr,2294,male,,9,3,0.33,0,5.0
Xin Jin,2295,,PayPal Inc. San Jose CA USA,11,38,3.45,68,4.13
W. Scott Spangler,2296,,IBM Research,30,39,1.3,31,5.49
Jiawei Han,2297,,University of Illinois at Urbana-Champaign Department of Computer Science IL USA,34,912,26.82,13,4.38
Georgia Koloniari,2298,female,,16,28,1.75,64,2.46
Evaggelia Pitoura,2299,,,25,193,7.72,26,3.03
Christian Korner,2300,male,,26,42,1.62,7,4.12
Markus Strohmaier,2301,male,RWTH Aachen University Germany,17,195,11.47,14,4.32
Spyros Kotoulas,2302,male,,14,83,5.93,19,5.06
Alexander Kotov,2303,male,Wayne State University,9,39,4.33,31,3.41
Changhyun Lee,2304,male,,13,31,2.38,42,5.84
Hosung Park,2305,,,10,99,9.9,23,4.91
Timothy La Fond,2306,male,,9,12,1.33,57,3.75
Jennifer Neville,2307,female,Purdue University West Lafayette USA,17,109,6.41,12,3.29
Tad Hogg,2308,male,,32,96,3.0,48,2.45
Chengkai Li,2309,male,University of Texas at Arlington USA,20,73,3.65,18,4.29
Ning Yan,2310,,,14,26,1.86,57,4.15
Senjuti Basu Roy,2311,,,14,62,4.43,44,4.42
Gautam Das,2312,male,University of Texas at Arlington Department of Computer Science and Engineering TX USA,30,209,6.97,21,4.01
Lihong Li,2313,,Google,16,127,7.94,21,4.14
Ping Li,2314,,Baidu Research USA Bellevue WA USA,14,160,11.43,54,2.34
Chao Liu,2315,,,20,281,14.05,38,4.35
Hung-chih Yang,2316,,,14,7,0.5,71,3.0
Arun S. Maiya,2317,male,,11,17,1.55,94,2.53
Tanya Y. Berger-Wolf,2318,female,University of Illinois at Chicago USA,20,83,4.15,19,3.67
Leo A. Meyerovich,2319,male,,14,11,0.79,91,2.73
Rastislav Bodik,2320,male,University of Washington Seattle USA,24,97,4.04,26,3.68
Oded Nov,2321,male,,15,75,5.0,40,3.37
David Anderson,2322,male,,26,52,2.0,42,4.71
Ofer Arazy,2323,male,,17,42,2.47,52,3.36
Sinno Jialin Pan,2324,,Nanyang Technological University Singapore,14,86,6.14,12,4.27
Jeffrey Pound,2325,male,University of Waterloo Canada,16,18,1.12,61,4.61
Peter Mika,2326,male,VU University Amsterdam Netherlands,17,89,5.24,34,4.57
Hugo Zaragoza,2327,male,Websays,22,62,2.82,21,3.68
Davood Rafiei,2328,male,University of Alberta Edmonton Canada,22,52,2.36,40,2.4
Dragomir Yankov,2329,male,,14,17,1.21,71,3.94
Scott Gaffney,2330,male,,22,12,0.55,25,4.25
Adwait Ratnaparkhi,2331,,,25,36,1.44,39,3.69
Azarias Reda,2332,,,10,10,1.0,80,3.9
Steffen Rendle,2333,male,,13,35,2.69,56,3.11
Christoph Freudenthaler,2334,male,,10,18,1.8,0,4.06
Lars Schmidt-Thieme,2335,male,University of Hildesheim,18,184,10.22,2,3.54
J. Alex Halderman,2336,,Princeton University USA,17,73,4.29,16,5.74
Eldar Sadikov,2337,male,,13,6,0.46,67,3.33
Jayant Madhavan,2338,,,19,48,2.53,23,5.29
Alon Y. Halevy,2339,male,Recruit Institute of Technology Mountain View CA USA,27,268,9.93,32,4.38
Takeshi Sakaki,2340,male,,13,13,1.0,31,5.08
Alessandra Sala,2341,female,,14,53,3.79,9,4.75
Christo Wilson,2342,,,12,78,6.5,8,5.53
Haitao Zheng,2343,,,21,162,7.71,14,4.72
Ben Y. Zhao,2344,male,University of Chicago Chicago IL USA,20,180,9.0,4,5.42
Mark Sandler,2345,male,Google,30,29,0.97,17,3.14
Rodrygo L. T. Santos,2346,male,Federal University of Minas Gerais Brazil,13,68,5.23,40,3.88
Craig Macdonald,2347,male,University of Glasgow Scotland,14,220,15.71,20,3.85
Iadh Ounis,2348,male,University of Glasgow Scotland,23,282,12.26,7,3.48
Sergiu Chelaru,2349,male,,9,10,1.11,60,3.5
Li-wei He,2350,,Microsoft Research,23,41,1.78,22,3.68
Gary Marchionini,2351,male,University of North Carolina at Chapel Hill NC USA,31,136,4.39,35,3.21
Guy Lebanon,2352,male,,18,80,4.44,28,2.98
Kevyn Collins-Thompson,2353,male,,18,68,3.78,32,3.87
Max Van Kleek,2354,male,University of Oxford UK,18,59,3.28,32,4.83
Paul Andre,2355,male,,12,28,2.33,46,5.61
Mridul Muralidharan,2356,,,11,4,0.36,0,8.5
Tim Weninger,2357,male,University of Notre Dame IN USA,13,78,6.0,24,3.5
William H. Hsu,2358,male,,26,57,2.19,35,3.33
Rongjing Xiang,2359,,,13,11,0.85,45,3.36
Monica Rogati,2360,female,,18,23,1.28,43,3.04
Xiaoxin Yin,2361,,University of Illinois USA,17,32,1.88,72,3.25
Wenzhao Tan,2362,,,16,4,0.25,25,2.75
Xiao Li,2363,,,17,308,18.12,41,4.42
Yisong Yue,2364,,,12,78,6.5,17,4.24
John Guiver,2365,male,,11,15,1.36,20,4.6
Eduarda Mendes Rodrigues,2366,female,,12,32,2.67,12,4.44
Natasa Milic-Frayling,2367,,Microsoft Research,24,92,3.83,15,4.41
Vincent Wenchen Zheng,2368,male,,12,69,5.75,22,4.7
Raju Balakrishnan,2369,male,,14,19,1.36,63,2.84
Subbarao Kambhampati,2370,,Arizona State University Tempe Arizona USA,34,273,8.03,18,3.35
Smriti Bhagat,2371,female,,13,26,2.0,46,4.08
Graham Cormode,2372,male,Rutgers University USA,19,216,11.37,68,3.12
Divesh Srivastava,2373,,AT&T Inc,29,369,12.72,9,3.94
Sumit Bhatia,2374,male,IBM Research India,12,42,3.5,55,4.02
Lorenzo Blanco,2375,male,,14,16,1.14,88,3.94
Mirko Bronzi,2376,male,,10,8,0.8,38,4.88
Valter Crescenzi,2377,male,Roma Tre University Rome Italy,21,49,2.33,39,4.31
Paolo Merialdo,2378,male,Roma Tre University Rome Italy,30,85,2.83,8,4.18
Paolo Papotti,2379,male,EURECOM Campus SophiaTech France,15,88,5.87,16,4.74
Roi Blanco,2380,,,14,99,7.07,34,3.86
Edward Bortnikov,2381,male,,21,35,1.67,54,4.89
Flavio Junqueira,2382,male,Yahoo Research,20,69,3.45,32,3.77
Ronny Lempel,2383,male,,19,66,3.47,27,4.65
Luca Telloli,2384,male,,11,4,0.36,0,5.25
Ningfang Mi,2385,,,16,88,5.5,16,4.8
Liangliang Cao,2386,,,14,123,8.79,27,4.84
Jiebo Luo,2387,,,26,498,19.15,12,4.16
Rongwei Cen,2388,,,12,11,0.92,45,6.09
Tianqi Chen,2389,,,21,41,1.95,44,4.9
Zhineng Chen,2390,,,9,40,4.44,33,4.72
Juan Cao,2391,male,,13,92,7.08,30,4.65
Junbo Guo,2392,,,14,22,1.57,0,5.32
Eric Crestan,2393,male,,18,12,0.67,57,3.08
Sihem Amer-Yahia,2394,,IMAG Grenoble France,23,194,8.43,51,3.74
Cong Yu,2395,male,Google Research,17,95,5.59,12,4.76
Paul Dutting,2396,male,,10,47,4.7,96,3.15
Monika Henzinger,2397,female,University of Vienna Faculty of Computer Science,30,235,7.83,38,3.09
Ruslan R. Fayzrakhmanov,2398,male,University of Oxford UK,9,13,1.44,46,5.0
Junlan Feng,2399,,,16,27,1.69,63,3.07
Claudio Gutierrez,2400,male,University of Chile Santiago Chile,21,118,5.62,23,2.92
Miguel A. Martinez-Prieto,2401,male,,12,61,5.08,30,3.87
Lisa M. Gandy,2402,female,,10,3,0.3,67,2.67
Nathan D. Nichols,2403,male,,13,7,0.54,56,3.57
Kristian J. Hammond,2404,male,,36,80,2.22,26,3.02
Aristides Gionis,2405,male,Aalto University Finland,23,221,9.61,13,3.67
Liang Gou,2406,,,10,37,3.7,38,4.92
Pankaj Gulhane,2407,male,,14,4,0.29,100,5.5
Rajeev Rastogi,2408,male,Yahoo!,28,185,6.61,14,3.89
Srinivasan H. Sengamedu,2409,,,12,18,1.5,22,3.44
Ashwin Tengli,2410,,,15,4,0.27,25,5.0
Qi Guo,2411,,,18,172,9.56,37,5.44
Hai Huang,2412,,Swinburne University of Technology Melbourne Australia,11,7,0.64,86,2.86
Chengfei Liu,2413,male,Swinburne University of Technology Melbourne Australia,23,217,9.43,12,4
Won-Seok Hwang,2414,male,,9,15,1.67,67,4.07
Sang-Wook Kim,2415,,,25,244,9.76,13,3.92
Ekaterini Ioannou,2416,female,,13,32,2.46,59,4.16
Claudia Niederee,2417,female,L3S Research Center Hanover Germany,22,84,3.82,10,4.35
Yannis Velegrakis,2418,male,Utrecht University Netherlands,20,106,5.3,10,3.91
Stephan Seufert,2419,male,,9,17,1.89,47,4.0
Vasileios Kandylas,2420,male,Microsoft Corporation Mountain View CA USA,12,22,1.83,27,3.91
Noriaki Kawamae,2421,male,,16,20,1.25,90,1.9
Julia Kiseleva,2422,female,University of Amsterdam Netherlands,11,40,3.64,45,4.53
Daniel Billsus,2423,male,,23,17,0.74,41,3.59
Weize Kong,2424,male,University of Massachusetts Amherst USA,9,9,1,78,3.89
Kyumin Lee,2425,,Utah State University,14,55,3.93,35,3.6
Cheng-Te Li,2426,,,12,99,8.25,40,3.14
Chien-Lin Tseng,2427,male,,9,3,0.33,0,4.0
Shou-De Lin,2428,male,National Taiwan University,18,146,8.11,8,4.84
Zhenhui Li,2429,female,Pennsylvania State University USA,10,60,6,27,4.18
Cindy Xide Lin,2430,female,,11,20,1.82,30,5.95
Bo Zhao,2431,male,LinkedIn Mountain View CA USA,11,31,2.82,10,6.35
Nedim Lipka,2432,male,,11,26,2.36,31,3.31
Benno Stein,2433,male,Bauhaus University Weimar Germany,28,243,8.68,18,4.04
Zhiyong Peng,2434,,,24,96,4.0,16,4.01
Zhang Liu,2435,,,12,28,2.33,46,4.07
Chaokun Wang,2436,,,17,96,5.65,15,4.31
Jianmin Wang,2437,,Tsinghua University School of Software Beijing China,19,275,14.47,3,4.55
Wei Zheng,2438,,,19,219,11.53,41,4.5
Shengfei Shi,2439,,,17,39,2.29,15,3.92
Tsuyoshi Murata,2440,male,,25,81,3.24,47,2.33
Victor Fresno,2441,male,National University of Distance Education Spain,18,74,4.11,8,4.72
Martin Potthast,2442,male,Bauhaus University Weimar Germany,13,108,8.31,37,5.68
Filip Radlinski,2443,male,,14,57,4.07,37,3.4
D. Sculley,2444,,Tufts University Medford USA,13,33,2.54,52,5.45
Pau-Chen Cheng,2445,male,,24,22,0.92,23,4.41
Vivek K. Singh,2446,male,,12,61,5.08,56,3.7
Mingyan Gao,2447,,,10,9,0.9,33,3.33
Ramesh Jain,2448,male,University of California Irvine CA USA,48,443,9.23,26,3.01
Adish Singla,2449,,,10,60,6.0,42,4.0
Arash Termehchy,2450,male,Oregon State University,16,43,2.69,30,3.33
Marianne Winslett,2451,female,University of Illinois Department of Computer Science Urbana IL USA,35,312,8.91,37,3.17
Mikalai Tsytsarau,2452,male,,9,13,1.44,69,3.85
Themis Palpanas,2453,male,Paris Descartes University France,19,140,7.37,16,3.88
Kerstin Denecke,2454,female,Berner Fachhochschule Technik und Informatik Switzerland,12,72,6.0,46,3.35
Dong Wang,2455,,Youku Tudou Inc. Beijing China,14,22,1.57,45,6.82
Chenguang Zhu,2456,,,11,22,2.0,23,5.14
Weizhu Chen,2457,,,12,35,2.92,11,4.74
Yong Wang,2458,male,,24,824,34.33,41,3.99
Zhen Wen,2459,,,21,70,3.33,36,4.03
Bing Li,2460,,Chinese Academy of Sciences Institute of Automation National Laboratory of Pattern Recognition Beijing China,13,62,4.77,34,4.55
Qianli Xing,2461,,,10,7,0.7,56,5.43
Takehiro Yamamoto,2462,male,Kyoto University Japan,12,55,4.58,27,4.4
Zhijun Yin,2463,male,Facebook USA,14,31,2.21,45,5.13
Manish Gupta,2464,male,Microsoft India R&D Hyderabad India,9,81,9.0,22,4.15
Seok-Ho Yoon,2465,,,12,20,1.67,65,4.45
Sunju Park,2466,female,,23,51,2.22,20,3.55
Jie Yu,2467,,Canon Innovation Center San Jose CA USA,15,37,2.47,43,3.92
Xiangji Huang,2468,,York University Toronto Canada,23,188,8.17,16,3.56
Aijun An,2469,,,25,139,5.56,14,3.35
Richong Zhang,2470,male,Beihang University China,12,67,5.58,31,4.04
Yaqian Zhou,2471,,,17,27,1.59,19,4.74
Qi Zhang,2472,male,Fudan University School of Computer Science Shanghai Key Laboratory of Data Science China,12,68,5.67,35,4.22
Xuanjing Huang,2473,female,Fudan University School of Computer Science Shanghai Key Laboratory of Data Science China,22,199,9.05,2,3.96
Lide Wu,2474,female,,31,80,2.58,10,3.88
Jia Zhu,2475,,,14,151,10.79,26,4.56
Gabriel Pui Cheong Fung,2476,male,,17,45,2.65,38,4.38
Xiaofang Zhou,2477,,,26,432,16.62,9,4.53
Li Xiong,2478,female,Emory University Atlanta GA USA,17,142,8.35,12,3.89
Mikhail Bautin,2479,male,,12,6,0.5,67,4.0
Akshay Patil,2480,,,9,7,0.78,71,4.71
Steven Skiena,2481,male,Stony Brook University Department of Computer Science,34,200,5.88,14,3.54
Faisal Ahmed,2482,male,Microsoft,10,19,1.9,26,5.37
Muhammad Asiful Islam,2483,male,Stony Brook University USA,11,13,1.18,62,4.31
Yury Puzis,2484,male,,13,24,1.85,38,4.54
Song Feng,2485,,,9,22,2.44,50,4.45
Byron J. Gao,2486,male,Simon Fraser University Burnaby Canada,13,49,3.77,28,4.73
Ullas Gargi,2487,,,24,18,0.75,67,4.0
Klara A. Weiand,2488,female,Ludwig Maximilian University of Munich Germany,12,14,1.17,43,3.64
Wei Shen,2489,,Nankai University College of Computer and Control Engineering Tianjin China,9,16,1.78,75,3.75
Timothy Jones,2490,male,RMIT University School of Computer Science and Information Technology Melbourne VIC Australia,10,10,1.0,60,4.3
David Hawking,2491,male,Microsoft Canberra Australia,25,89,3.56,47,2.88
Ramesh S. Sankaranarayana,2492,male,,27,10,0.37,40,2.7
Nabil Layaida,2493,male,,22,69,3.14,7,3.09
Pierre Geneves,2494,male,CNRS France,15,56,3.73,46,3.0
Xiang Niu,2495,,,9,10,1.11,70,4.8
Chong-Wah Ngo,2496,,City University of Hong Kong,23,210,9.13,16,3.6
Tom Rowlands,2497,male,,13,7,0.54,28,3.43
Ramesh Sankaranarayana,2498,male,,9,14,1.56,0,3.93
Sherif Sakr,2499,male,University of New South Wales Sydney Australia,15,132,8.8,40,3.56
Michele Catasta,2500,male,Stanford University USA,11,31,2.82,16,5.06
Ke Wu,2501,,,32,111,3.47,41,4.26
Guilin Qi,2502,,,16,161,10.06,28,3.75
Hao Xu,2503,,,21,214,10.19,40,4.29
Jingdong Wang,2504,,Microsoft Research,16,206,12.88,17,4.96
Shipeng Li,2505,,,23,281,12.22,4,4.61
Wai Gen Yee,2506,,,19,50,2.63,48,3.24
Andrew Yates,2507,male,,18,52,2.89,31,5.44
Ophir Frieder,2508,male,Georgetown University,32,300,9.38,7,3.68
Kang Zhang,2509,,,29,282,9.72,20,3.38
Dong Zhou,2510,,,20,119,5.95,47,4.34
Elizabeth F. Churchill,2511,female,Google,24,185,7.71,43,3.57
Marti A. Hearst,2512,female,University of California Berkeley USA,31,146,4.71,32,2.88
Kostas Tsioutsiouliklis,2513,male,,20,22,1.1,0,3.5
Emre Velipasaoglu,2514,male,,13,9,0.69,11,3.33
Pavel Serdyukov,2515,male,,14,137,9.79,17,4.04
Sergey Chernov,2516,male,L3S Research Center Hanover Germany,14,13,0.93,62,3.62
Olaf Hartig,2517,male,Linköping University Sweden,12,76,6.33,75,2.92
Juan F. Sequeda,2518,male,University of Texas at Austin Department of Computer Sciences TX USA,11,46,4.18,46,3.83
Jamie Taylor,2519,female,,11,6,0.55,17,5.0
Hao Ma,2520,,,14,120,8.57,32,4.08
Marie-Francine Moens,2521,female,Catholic University of Leuven Belgium,22,246,11.18,19,3.39
Raphael Troncy,2522,male,Eurecom Sophia Antipolis France,17,170,10.0,11,4.93
Erik Mannens,2523,male,,11,200,18.18,4,5.91
Rik Van de Walle,2524,male,,23,450,19.57,1,5.62
Xian Li,2525,female,Facebook USA,12,98,8.17,47,4.53
Arun Kumar,2526,male,,32,61,1.91,31,3.64
Yelong Shen,2527,,,8,36,4.5,50,5.42
Botao Hu,2528,,,9,9,1.0,33,4.67
Yuchen Zhang,2529,,,21,79,3.76,63,3.7
Jaime Teevan,2530,male,,18,122,6.78,33,3.89
Xiaofei Zhu,2531,,,12,28,2.33,25,4.36
Jiafeng Guo,2532,,,13,142,10.92,7,5.06
Pan Du,2533,,,14,27,1.93,48,5.37
Huawei Shen,2534,,,13,65,5.0,9,4.58
Idan Szpektor,2535,male,,15,48,3.2,19,4.29
Yoelle Maarek,2536,,,30,83,2.77,13,3.82
Yuanhua Lv,2537,,,14,45,3.21,47,3.73
Taesup Moon,2538,,,14,37,2.64,54,3.41
Tapas Kanungo,2539,male,,27,57,2.11,56,3.47
Jangwon Seo,2540,,,12,16,1.33,69,2.94
Matthias Hagen,2541,male,,14,87,6.21,46,4.39
Christof Brautigam,2542,male,,9,3,0.33,0,3.67
Bo-June Paul Hsu,2543,male,Microsoft Research,18,24,1.33,33,3.38
R. Preston McAfee,2544,,,38,42,1.11,7,3.0
L. Elisa Celis,2545,,,10,55,5.5,67,3.71
Justin M. Rao,2546,male,,8,8,1.0,0,3.5
Rushi Bhatt,2547,,,20,8,0.4,38,3.38
Dinesh Garg,2548,male,,17,43,2.53,40,3.67
Junjie Zhang,2549,,,12,87,7.25,36,4.55
Wenke Lee,2550,female,Georgia Institute of Technology Atlanta GA USA,22,174,7.91,11,4.52
Davide Canali,2551,male,,8,7,0.88,86,3.43
Christopher Kruegel,2552,male,University of California Santa Barbara Computer Science Department,20,242,12.1,11,4.64
Martin Abadi,2553,male,University of California Santa Cruz USA,34,257,7.56,73,3.18
Michael J. Welch,2554,male,,11,5,0.45,100,3.0
John E. Hopcroft,2555,male,Cornell University Ithaca NY USA,54,167,3.09,38,3.05
Amr Ahmed,2556,male,Carnegie Mellon University Pittsburgh USA,16,80,5.0,33,3.88
Qirong Ho,2557,,,10,50,5.0,20,6.12
Jacob Eisenstein,2558,male,,20,126,6.3,31,3.09
Eric P. Xing,2559,male,School of Computer Science Carnegie Mellon University,18,459,25.5,5,4.17
Alexander J. Smola,2560,male,Carnegie Mellon University,23,285,12.39,8,4.16
Choon Hui Teo,2561,,,13,14,1.08,50,4.86
Vidit Jain,2562,,,17,13,0.76,69,2.62
Manik Varma,2563,,,17,36,2.12,31,3.56
Charu C. Aggarwal,2564,female,IBM T. J. Watson Research Center Yorktown NY USA,24,393,16.38,56,3.09
Aurelien Francillon,2565,male,,14,52,3.71,23,3.67
Beibei Li,2566,,,15,41,2.73,41,3.17
Panagiotis G. Ipeirotis,2567,male,New York University USA,19,88,4.63,24,3.18
Kira Radinsky,2568,female,eBay Research Netanya Israel,11,27,2.45,44,3.63
Shaul Markovitch,2569,male,Technion - Israel Institute of Technology Haifa Israel,31,88,2.84,11,2.44
Malu Castellanos,2570,female,,28,98,3.5,43,4.96
Umeshwar Dayal,2571,,Hitachi America Ltd. Research & Development Division,41,268,6.54,21,4.15
Maksims Volkovs,2572,male,,12,18,1.5,78,2.67
Christopher J. C. Burges,2573,male,Microsoft Research,32,65,2.03,35,3.8
Maryam Karimzadehgan,2574,female,,15,15,1.0,87,2.87
Ruofei Zhang,2575,,,17,44,2.59,39,3.66
Jianchang Mao,2576,,,31,41,1.32,39,3.44
Kilian Q. Weinberger,2577,male,Department of Computer Science and Engineering Washington University in St. Louis,15,124,8.27,12,4.54
Umut Ozertem,2578,male,,14,43,3.07,51,3.63
Benoit Dumoulin,2579,,,11,16,1.45,0,4.62
Azin Ashkan,2580,female,,13,33,2.54,36,3.82
Charles L. A. Clarke,2581,male,University of Waterloo Canada,24,198,8.25,24,3.29
Denis Helic,2582,male,Graz University of Technology Austria,20,77,3.85,22,4.01
Christoph Trattner,2583,male,,9,95,10.56,32,4.02
Markus Muhr,2584,male,,10,12,1.2,33,4.0
Yeye He,2585,,,10,25,2.5,44,3.6
Nilesh N. Dalvi,2586,,Troo.ly,18,54,3.0,65,3.3
Ashwin Machanavajjhala,2587,male,Duke University Durham USA,18,101,5.61,21,3.84
Anton Bakalov,2588,male,,10,9,0.9,22,5.33
Partha Pratim Talukdar,2589,,Indian Institute of Science Bangalore,15,75,5.0,15,4.89
Salvatore Scellato,2590,male,,12,36,3.0,33,4.58
Cecilia Mascolo,2591,female,University of Cambridge UK,23,223,9.7,8,3.99
Mirco Musolesi,2592,male,,15,137,9.13,12,4.02
Jon Crowcroft,2593,male,University of Cambridge UK,31,438,14.13,16,4.08
Sipat Triukose,2594,,,13,14,1.08,36,5.0
Paul Heymann,2595,male,,12,9,0.75,67,3.33
Gal Lavee,2596,male,,14,11,0.79,73,3.82
Edo Liberty,2597,male,,12,46,3.83,28,3.07
Oren Somekh,2598,male,,19,65,3.42,25,4.43
Shirshanka Das,2599,,,17,23,1.35,26,8.35
Bhaskar Ghosh,2600,male,,25,15,0.6,33,9.33
Brendan Meeder,2601,male,,9,10,1.11,10,4.2
Brian Karrer,2602,male,,10,22,2.2,18,4.55
R. Ravi,2603,,Carnegie Mellon University Pittsburgh PA USA,29,230,7.93,13,3.41
Mohsen Jamali,2604,male,University of British Columbia Vancouver Canada,13,21,1.62,52,2.86
Martin Ester,2605,male,Simon Fraser University Burnaby Canada,34,163,4.79,18,3.87
Shuang-Hong Yang,2606,,,13,31,2.38,74,2.87
Bo Long,2607,male,,14,31,2.21,55,4.26
Xiaolin Shi,2608,,,14,25,1.79,36,3.72
Jing Li,2609,,,25,1003,40.12,32,4.45
Abhinav Mishra,2610,,,9,7,0.78,86,1.71
Arnab Bhattacharya,2611,,Indian Institute of Technology (IIT) Kanpur,15,77,5.13,19,3.52
Wei Dong,2612,,Ann Arbor MI USA,12,8,0.67,75,4.62
Moses Charikar,2613,male,Princeton University,22,173,7.86,55,3.54
Kai Li,2614,male,Princeton University NJ USA,33,138,4.18,12,4.21
Paolo Boldi,2615,male,University of Milan Italy,24,137,5.71,77,2.96
Marco Rosa,2616,male,,9,23,2.56,9,4.3
Sebastiano Vigna,2617,male,,28,138,4.93,17,2.71
Liran Katzir,2618,male,Microsoft Research,17,26,1.53,15,3.42
Siddharth Suri,2619,,,15,41,2.73,12,3.41
Sebastian Rudolph,2620,male,,18,158,8.78,28,3.31
Adila Krisnadhi,2621,female,Wright State University Fairborn Ohio USA,12,58,4.83,36,5.74
Pascal Hitzler,2622,male,Wright State University,21,286,13.62,20,4.08
Wangchao Le,2623,,,13,9,0.69,78,3.67
Songyun Duan,2624,,,13,25,1.92,52,3.68
Feifei Li,2625,,University of Utah School of Computing Salt Lake City UT USA,18,104,5.78,24,4.19
Ceren Budak,2626,female,,9,20,2.22,45,3.95
Marcelo Mendoza,2627,male,,19,53,2.79,26,3.21
Xinyu Xing,2628,,,15,59,3.93,22,5.95
Sui Huang,2629,,,17,24,1.41,12,5.79
Richard Han,2630,male,University of Colorado USA,24,103,4.29,6,5.01
Qin Lv,2631,,University of Colorado Boulder CO USA,17,108,6.35,9,5.55
Shivakant Mishra,2632,,,30,144,4.8,19,3.62
Daniel M. Romero,2633,male,University of Michigan Ann Arbor MI USA,11,40,3.64,40,3.58
Shaomei Wu,2634,,,16,17,1.06,41,3.88
Sotiris Ioannidis,2635,,,21,135,6.43,7,4.51
Evangelos P. Markatos,2636,male,Foundation for Research & Technology - Hellas Greece,30,128,4.27,17,3.73
Silvio Lattanzi,2637,male,,11,59,5.36,15,3.86
Alessandro Panconesi,2638,male,Sapienza University of Rome Italy,31,117,3.77,18,3.45
Dashun Wang,2639,,,8,28,3.5,21,3.75
Hanghang Tong,2640,,Arizona State University,15,202,13.47,17,4.59
Albert-Laszlo Barabasi,2641,male,,20,53,2.65,9,4.72
Michael Gamon,2642,male,Microsoft Research,18,51,2.83,25,4.1
Mikhil Masli,2643,,,9,16,1.78,38,4.06
Werner Geyer,2644,male,,23,82,3.57,23,5.35
Casey Dugan,2645,,,12,38,3.17,21,5.21
Beth Brownholtz,2646,female,IBM Thomas J. Watson Research Center Yorktown Heights USA,15,26,1.73,4,5.38
Tom Yeh,2647,male,,16,66,4.12,23,4.27
Boris Katz,2648,male,MIT Cambridge USA,36,67,1.86,33,4.73
Larry S. Davis,2649,male,University of Maryland College Park USA,44,545,12.39,7,3.61
Hans-Arno Jacobsen,2650,male,TU Munich Faculty of Computer Science,21,300,14.29,11,3.65
Yunhui Zheng,2651,,,12,35,2.92,23,5.51
Xiangyu Zhang,2652,,Purdue University West Lafayette IN USA,16,137,8.56,13,4.36
Fabien L. Gandon,2653,male,INRIA France,19,162,8.53,22,4.04
Natalie Aizenberg,2654,female,,7,3,0.43,33,7.0
Yehuda Koren,2655,male,AT&T Inc,19,72,3.79,33,2.64
Tamas Jambor,2656,male,,9,6,0.67,67,2.67
Jun Wang,2657,male,University College London UK,16,133,8.31,17,4.41
Neal Lathia,2658,male,,12,39,3.25,59,3.41
Bin Xu,2659,,Zhejiang University Zhejiang Provincial Key Laboratory of Service Robot Hangzhou China,8,9,1.12,56,5.67
Felix Xiaozhu Lin,2660,male,,9,41,4.56,20,4.1
Lin Zhong,2661,female,Rice University Department of Electrical and Computer Engineering Houston TX USA,20,159,7.95,11,3.74
Angela Nicoara,2662,female,,14,11,0.79,27,7.55
Feng Qian,2663,,Indiana University Bloomington IN USA,10,52,5.2,33,5.17
Zhuoqing Morley Mao,2664,,University of Michigan Ann Arbor USA,19,168,8.84,5,5.05
Subhabrata Sen,2665,,,23,114,4.96,9,4.89
Saptarshi Ghosh,2666,,,11,86,7.82,27,4.67
Bimal Viswanath,2667,,,12,27,2.25,37,5.37
Farshad Kooti,2668,male,,7,22,3.14,68,5.18
Naveen Kumar Sharma,2669,male,,10,10,1.0,30,4.9
Fabricio Benevenuto,2670,male,Federal University of Minas Gerais Brazil,15,124,8.27,17,4.77
Chao Yang,2671,,,27,315,11.67,41,4.3
Guofei Gu,2672,,,16,105,6.56,14,4.33
Jeremy Blackburn,2673,male,University of Alabama at Birmingham Department of Computer Science AL USA,9,76,8.44,16,5.21
Nicolas Kourtellis,2674,male,,9,79,8.78,19,4.9
Xiang Zuo,2675,,,9,19,2.11,57,5.74
Adriana Iamnitchi,2676,female,University of South Florida Tampa FL USA,19,92,4.84,20,3.99
Ganesh Ramakrishnan,2677,male,Indian Institute of Technology Bombay India,25,94,3.76,12,4.09
Marek Ciglan,2678,male,,14,26,1.86,50,3.85
Daniel M. Herzig,2679,male,Department of Economics and Business Engineering Karlsruhe Institute of Technology,11,19,1.73,37,4.37
Stefano Traverso,2680,male,,10,41,4.1,24,5.32
Vijay Erramilli,2681,male,,15,32,2.13,22,4.75
Konstantina Papagiannaki,2682,female,,18,115,6.39,17,4.58
Arjun Mukherjee,2683,male,,9,53,5.89,25,3.6
Natalie S. Glance,2684,female,,26,27,1.04,44,3.78
Myle Ott,2685,,,8,23,2.88,43,3.91
Claire Cardie,2686,female,Cornell University Ithaca USA,28,165,5.89,16,3.52
Monica S. Lam,2687,female,Stanford University USA,35,132,3.77,17,3.64
Ian A. Kash,2688,male,Microsoft Research Cambridge UK,16,78,4.88,37,3.53
Haoqi Zhang,2689,,,11,39,3.55,31,4.97
Haiping Ma,2690,,,10,32,3.2,59,4.5
Jilei Tian,2691,,,22,77,3.5,22,5.03
Mirjam Wattenhofer,2692,female,,15,12,0.8,42,3.33
Janette Lehmann,2693,female,,10,15,1.5,60,4.53
Bruno Goncalves,2694,male,,13,59,4.54,17,5.63
Lei Yang,2695,,,15,315,21.0,39,4.47
Tao Sun,2696,,,21,165,7.86,38,4.33
